z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,3.594126510000000274e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,1.392300824814109389e-13,3.951122842470454239e-14,0.000000000000000000e+00,-1.159488000000023389e+00,5.612550659996308795e-13,1.722170209998867491e-15,6.119572109995975800e-15,0.000000000000000000e+00,7.794738699994872941e-19,1.232275619999189375e-16,1.195144959999214093e-20,0.000000000000000000e+00,0.000000000000000000e+00,1.170770709999230231e-15,9.654164459993650582e-20,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999993423039e-01,4.323578529997156270e-19,5.590827099996323515e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.044378509999313192e-15,0.000000000000000000e+00,0.000000000000000000e+00,3.284073089997840169e-16,3.123415529997945406e-17,0.000000000000000000e+00,5.802833399996183466e-20,0.000000000000000000e+00,4.456079069997069177e-16,5.172417359996598654e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.144311989995958006e-18,0.000000000000000000e+00,0.000000000000000000e+00,4.743994929996880090e-20,3.249766819997862237e-14,0.000000000000000000e+00,0.000000000000000000e+00,2.353763129998451900e-15,0.000000000000000000e+00,4.559492399997001299e-21,4.597713409996976785e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.736817009998857841e-20,4.735353709996885545e-19,5.395309089996451746e-18,9.111241999994008441e-19,4.022849409997354387e-14,0.000000000000000000e+00,7.119995569995317655e-16
3.750000000000000078e-04,3.589778430000000187e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,3.956877717478699830e-13,1.622467987375844402e-13,0.000000000000000000e+00,-3.478464000000069944e+00,1.594633109997300859e-12,1.773356099996998383e-15,5.469083129990743057e-15,0.000000000000000000e+00,3.397297839994249276e-18,8.599478549985444457e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.803219309990177644e-22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999983073540e-01,3.257830509994485418e-18,5.263731639991089833e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.059092619998207452e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.938156239995026910e-15,3.121933999994715911e-17,6.610960939988809291e-17,5.764413659990243149e-20,0.000000000000000000e+00,4.456362129992456824e-16,5.175194209991240901e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.144316579989599997e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.249178249994500056e-14,0.000000000000000000e+00,1.716504989997094658e-20,2.352587279996018156e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597722599992217511e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.737672089997058777e-20,1.437803539997566322e-18,5.395311899990867227e-18,9.110928719984579433e-19,4.022849429993190460e-14,0.000000000000000000e+00,7.120028909987948425e-16
7.500000000000000156e-04,3.576734189999999924e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,1.119441441307187976e-12,1.460052104708608178e-13,0.000000000000000000e+00,-5.797437333333379073e+00,4.512213549979195928e-12,1.762028649991876315e-15,4.886081139977472993e-15,0.000000000000000000e+00,3.051050019985932814e-18,1.524078319992973432e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999953894658e-01,5.211430869975972931e-18,4.995790729976965791e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.072532759995055018e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.866501259986783924e-15,3.120575639985612150e-17,1.990323429990823664e-16,5.732942019973568500e-20,0.000000000000000000e+00,4.456622339979452146e-16,5.177616839976128759e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.144347969971670858e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.248653599985021845e-14,0.000000000000000000e+00,4.346803959979959176e-20,2.351532349989158431e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597727919978801973e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.738455809991985040e-20,3.252311579985004762e-18,5.395319819975124753e-18,9.110657399957995373e-19,4.022849449981452206e-14,0.000000000000000000e+00,7.120056819967172889e-16
1.124999999999999915e-03,3.554993799999999760e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,3.157780822614562950e-12,1.306667065080529665e-13,0.000000000000000000e+00,-8.116413333333273528e+00,1.273026209983668870e-11,1.750772909977540062e-15,4.362468159944036237e-15,0.000000000000000000e+00,2.724075669965054042e-18,2.122775769972767856e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999871713730e-01,6.954795989910780050e-18,4.776596509938722039e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084924399986082011e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.842800369963531255e-15,3.119338029959982816e-17,3.266628719958093565e-16,5.707311679926783720e-20,0.000000000000000000e+00,4.456862059942823984e-16,5.179722789933551854e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.144568759921173764e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.248186219958330161e-14,0.000000000000000000e+00,7.040808539909676533e-20,2.350582199969845422e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597728249941017843e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.739178239977688849e-20,1.122406929985601097e-17,5.395333509930784965e-18,9.110421799883125002e-19,4.022849459948392306e-14,0.000000000000000000e+00,7.120079929908659112e-16
1.500000000000000031e-03,3.524557249999999975e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,8.876494262884100501e-12,1.168629402978328769e-13,0.000000000000000000e+00,-1.043538666666673365e+01,3.578762059871571453e-11,1.739564289937573518e-15,3.891422999860350997e-15,0.000000000000000000e+00,2.429858509912801009e-18,2.674339379904027674e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999641135950e-01,1.129494579959466542e-17,4.600880349834890367e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.096589589960647291e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.834747509898271474e-15,3.118212229888098657e-17,4.497330069838606987e-16,5.686455519795933580e-20,0.000000000000000000e+00,4.457083339840051381e-16,5.181494989814054835e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.146121749779437646e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.247770449883449031e-14,0.000000000000000000e+00,1.005950969963899983e-19,2.349723669915677059e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597722749835004605e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.739847789937563159e-20,6.213915799777004920e-17,5.395351019806379724e-18,9.110216909673066750e-19,4.022849459855634885e-14,0.000000000000000000e+00,7.120098709744485494e-16
1.874999999999999931e-03,3.485424549999999733e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,2.483286536222545271e-11,1.044394139659027804e-13,0.000000000000000000e+00,-1.275436266666663343e+01,1.001231829899653763e-10,1.728348699826780156e-15,3.467516929652476153e-15,0.000000000000000000e+00,2.165104269783007160e-18,3.257934249673481097e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999998997772810e-01,3.641840859635004114e-17,4.491290259549870036e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108172829888935980e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.831837339716185958e-15,3.117188509687586869e-17,5.689704249429761801e-16,5.669459829431792090e-20,0.000000000000000000e+00,4.457287949553278592e-16,5.182665109480579620e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.156976719382930694e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.247401509674536735e-14,0.000000000000000000e+00,1.517506519847911513e-19,2.348945989764582577e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597710739539205227e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.740471099825565295e-20,4.090388689590050415e-16,5.395367769459260808e-18,9.110038769086965707e-19,4.022849449596818775e-14,0.000000000000000000e+00,7.120113529286403525e-16
2.249999999999999830e-03,3.437595689999999871e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985509999999593e-01,1.000000000000000000e+00,6.903771121217932834e-11,9.326023818751094320e-14,0.000000000000000000e+00,-1.623282133333329114e+01,2.783561009224892995e-10,1.717031129521877726e-15,3.086120609140642966e-15,0.000000000000000000e+00,1.926919889463432140e-18,4.370191608783082487e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999997215411884e-01,2.059546219426501276e-16,4.697141218692039102e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121420629687730666e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.830709859211764096e-15,3.116259329132249552e-17,6.851023038092271926e-16,5.655758558425104893e-20,0.000000000000000000e+00,4.457477388758775567e-16,5.183657808556565887e-15,0.000000000000000000e+00,0.000000000000000000e+00,6.232150518264602990e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.247075979095822928e-14,0.000000000000000000e+00,1.991385529445481149e-19,2.348242149346111302e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597691538719732876e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.741056529515187569e-20,2.769185939228896236e-15,5.395376588497609266e-18,9.109884497463273137e-19,4.022849428879802276e-14,0.000000000000000000e+00,7.120124688017338495e-16
3.000000000000000062e-03,3.315849530000000156e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985450000000180e-01,1.000000000000000000e+00,3.890030460012605859e-10,7.468805022497905890e-14,0.000000000000000000e+00,-2.087075999999999354e+01,1.568443600676613603e-09,1.693656380730629613e-15,2.452785011058111632e-15,0.000000000000000000e+00,1.531444960660652759e-18,1.804575390778479211e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999984313917567e-01,3.489473261505330496e-15,1.253206280540622929e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.172357890505745795e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.831870911221646009e-15,3.114710571343660323e-17,9.101615783926362420e-16,5.637552152431993152e-20,0.000000000000000000e+00,4.457810341923062525e-16,5.185087692236804479e-15,0.000000000000000000e+00,0.000000000000000000e+00,7.700583503321968805e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.246566331400542475e-14,0.000000000000000000e+00,2.816326781214940335e-19,2.347096231012518064e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597625841983378232e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.742088830751522973e-20,4.818421072078627536e-14,5.395333452327502228e-18,9.109652513929829732e-19,4.022849251735423880e-14,0.000000000000000000e+00,7.120135513071567775e-16
3.749999999999999861e-03,3.159318830000000244e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516985189999999761e-01,1.000000000000000000e+00,1.786782362620119069e-09,5.932098893461778048e-14,0.000000000000000000e+00,-2.550865866666670811e+01,7.204143768522750908e-09,1.669077609657746516e-15,1.929483879604348824e-15,0.000000000000000000e+00,1.204717069752966160e-18,1.744793209642220348e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999927949444478e-01,4.351871559107624576e-14,1.363283909720451187e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.327162909727858097e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.864244639412671094e-15,3.113499679361559329e-17,1.135981619767060691e-15,5.630496588845435696e-20,0.000000000000000000e+00,4.458175599085827160e-16,5.186034848936575560e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.572646019472464498e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.246181559334352483e-14,0.000000000000000000e+00,3.534166359275299680e-19,2.346664999518803566e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.597577169057241573e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.742792979642630930e-20,5.974539918774886968e-13,5.395189948893686185e-18,9.109514598132043072e-19,4.022848759175092281e-14,0.000000000000000000e+00,7.120140158539976176e-16
4.499999999999999660e-03,2.968003889999999978e-01,0.000000000000000000e+00,3.000000000000000000e+02,6.516984120000000047e-01,1.000000000000000000e+00,7.670927752726872654e-09,4.650598326187718862e-14,0.000000000000000000e+00,-2.898697866666667267e+01,3.092734110195171360e-08,1.648151750104008993e-15,1.496133880094415811e-15,1.854283360117017275e-15,9.341736720589522407e-19,1.968731550124239377e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999690631063975e-01,5.104036500322097717e-13,1.970390950124344400e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832389700115635409e-15,2.860217360180498320e-15,0.000000000000000000e+00,3.356682260211828414e-15,3.113671270196492024e-17,1.411166310089053804e-15,5.676565380358228258e-20,0.000000000000000000e+00,4.459799060281442284e-16,5.186562630327306211e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.374133700149823233e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.245907360204837284e-14,0.000000000000000000e+00,4.161446000262613684e-19,2.354656750148593863e-15,0.000000000000000000e+00,0.000000000000000000e+00,4.598245560290178672e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.741170520109879285e-20,6.953224670438792417e-12,5.394946030340455894e-18,9.110038840574900645e-19,4.022847740253867326e-14,0.000000000000000000e+00,7.120155840449326963e-16
