grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.187763043,-1.1878404e-19,-251.284298,300,0.651698506,1.00750508e-08,2.01605798e-15,-5.41389258e-14,3.76838804e-16,-8.85736094e-18,2.60493742e-13,-3.87883364e-19,4.34429323e-15,-2.81161281e-14,5.18814538e-15,6.95282002e-14,-6.76710715e-15,-1.27892115e-14,0.99999999,1.1773125e-13,2.19130788e-15,2.10836528e-21,1.48673929e-15,1.25513341e-22,2.99270582e-15,3.51868992e-19,1.80639934e-18,4.80423893e-16,-2.11552932e-14,-8.52459682e-16,3.43097049e-18,-1.3525091e-14,1.22131129e-20,-1.11517186e-14,1.40333064e-16,-6.17469382e-15,1.27011139e-14,-6.35340979e-15,3.81635659e-17,5.84581535e-36,1.3005604e-16,-3.24796977e-15,-3.25922162e-21,1.54689451e-14,-2.87036092e-20,1.4190602e-15,-2.39824866e-20,1.17408371e-14,-2.69647923e-14,8.88552687e-19,4.65635173e-19,7.01647548e-20,9.17421873e-13,-4.56940077e-17,-3.51686279e-18,1.03445548e-16,4.27507308e-19,-9.07658028e-15
0.000375,0.187474273,0.770086978,-251.284298,300,0.651698463,1.96837456e-08,2.23686511e-15,-4.45210174e-14,1.55242264e-15,-2.77148978e-17,1.07408979e-12,-3.8501638e-19,4.34430787e-15,-2.81161217e-14,1.59909234e-21,6.83702476e-14,-2.66818523e-21,-5.1892814e-14,0.99999998,3.35698749e-13,1.11510425e-14,-1.65907234e-20,1.48729389e-15,1.25497125e-22,2.99141292e-15,1.88736072e-18,1.67868609e-18,2.39936724e-15,-4.56713126e-15,-4.39142671e-15,3.4364747e-18,-1.35257471e-14,1.22082484e-20,-1.11514776e-14,1.40399496e-16,-6.17470327e-15,1.27011088e-14,-6.35340389e-15,1.60088351e-16,2.43867305e-35,5.43367502e-16,-3.24786202e-15,5.76154413e-21,1.54689442e-14,-2.89901754e-20,1.42411077e-15,-6.03673063e-21,1.17408362e-14,-2.69645228e-14,8.92885442e-19,2.51610815e-18,7.0160927e-20,3.79937496e-12,-4.56940064e-17,-3.5168356e-18,1.03446307e-16,4.27689693e-19,-9.07657988e-15
0.00075,0.18660795,1.54017396,-251.284298,300,0.651698378,3.8442271e-08,2.22625933e-15,-3.65806841e-14,6.389564e-15,-2.28468419e-17,4.46134797e-12,-3.73173687e-19,4.34436885e-15,-2.8116098e-14,-5.45490026e-27,6.72252755e-14,-1.04834256e-27,-6.63812214e-14,0.999999962,1.24329348e-12,5.6802058e-14,-3.17956045e-20,1.49019846e-15,1.25489922e-22,2.99010982e-15,4.30805353e-18,1.42064787e-18,1.19705514e-14,-9.83072054e-16,-6.9921892e-15,3.4660762e-18,-1.34129292e-14,1.21926123e-20,-1.11500659e-14,1.40788951e-16,-6.17470682e-15,1.27010916e-14,-6.35338878e-15,6.7066495e-16,1.01135307e-34,2.269005e-15,-3.24735429e-15,5.19097297e-20,1.54689462e-14,-3.01157063e-20,1.45138816e-15,-5.82773629e-21,1.17408337e-14,-2.69631459e-14,9.15045104e-19,1.30024674e-17,7.01459128e-20,1.57206361e-11,-4.56940039e-17,-3.51665384e-18,1.03451342e-16,4.28817442e-19,-9.07657806e-15
0.001125,0.185164084,2.31026095,-251.284298,300,0.651698211,7.49809654e-08,2.21882745e-15,-3.00164597e-14,2.62231756e-14,-1.87473672e-17,1.83929654e-11,-3.24426719e-19,4.34462133e-15,-2.81160209e-14,-6.07424282e-27,6.60897092e-14,1.76844906e-31,-7.67224862e-14,0.999999925,5.00915727e-12,2.88536046e-13,-4.43450136e-20,1.50553766e-15,1.2553695e-22,2.9887888e-15,1.14121333e-17,9.31538458e-19,5.95339049e-14,-2.10562982e-16,-1.97491438e-15,3.62613675e-18,-1.27985104e-14,1.21441374e-20,-1.11418239e-14,1.43063184e-16,-6.17472054e-15,1.27010393e-14,-6.35334758e-15,2.8012472e-15,4.16595995e-34,9.44845767e-15,-3.24497829e-15,2.87209206e-19,1.54689619e-14,-3.44652523e-20,1.59823199e-15,-4.92617884e-21,1.17408264e-14,-2.69561332e-14,1.02795795e-18,6.64328089e-17,7.00810154e-20,6.48604045e-11,-4.5693999e-17,-3.51545441e-18,1.03484621e-16,4.35468651e-19,-9.07656851e-15
0.0015,0.183142697,3.08034796,-251.284298,300.000001,0.651697888,1.45884708e-07,2.21655964e-15,-2.45856887e-14,1.07070657e-13,-1.5355482e-17,7.52593797e-11,-1.24954936e-19,4.34565934e-15,-2.8115777e-14,-6.29439929e-27,6.4959967e-14,7.13670214e-31,-8.44483718e-14,0.999999854,2.05430136e-11,1.45755692e-12,-5.13370691e-20,1.58603678e-15,1.25770854e-22,2.98743916e-15,4.32528801e-17,6.49074196e-20,2.94438454e-13,-4.47868014e-17,2.75134497e-14,4.48771778e-18,-9.473448e-15,1.2002056e-20,-1.10940084e-14,1.56258242e-16,-6.174768e-15,1.27008854e-14,-6.35323156e-15,1.16396253e-14,1.70899872e-33,3.91427348e-14,-3.23393442e-15,1.4798641e-18,1.54690375e-14,-5.09975672e-20,2.38376224e-15,-2.53077165e-22,1.17408036e-14,-2.69206297e-14,1.59971817e-18,3.36981803e-16,6.97931989e-20,2.66228856e-10,-4.56939897e-17,-3.50760064e-18,1.03703095e-16,4.7424087e-19,-9.07651498e-15
0.001875,0.180543829,3.85043506,-251.284298,300.000005,0.65169726,2.82746256e-07,2.22266836e-15,-2.00938764e-14,4.33913061e-13,-1.2550042e-17,3.0538551e-10,6.83925933e-19,4.34988943e-15,-2.81150152e-14,-6.60980582e-27,6.38322496e-14,2.8504334e-30,-8.98063427e-14,0.999999716,8.40888874e-11,7.30326073e-12,-4.17032075e-20,2.00475766e-15,1.26975856e-22,2.98604724e-15,2.04754836e-16,-1.31992133e-18,1.44448286e-12,-9.4371784e-18,1.77245871e-13,9.08584434e-18,8.36072936e-15,1.16229706e-20,-1.08191028e-14,2.32123702e-16,-6.17492505e-15,1.2700438e-14,-6.35289969e-15,4.80004255e-14,6.98244723e-33,1.60941939e-13,-3.18304769e-15,7.47359422e-18,1.54693618e-14,-1.12670636e-19,6.54859791e-15,2.45363817e-20,1.17407303e-14,-2.67424392e-14,4.46959209e-18,1.69493503e-15,6.85098032e-20,1.08460093e-09,-4.56939718e-17,-3.45665829e-18,1.05123961e-16,6.97936729e-19,-9.07620967e-15
0.00225,0.177367554,4.62052244,-251.284298,300.000017,0.651696044,5.45115982e-07,2.24227305e-15,-1.63909945e-14,1.74112802e-12,-1.02373404e-17,1.22664283e-09,3.92834065e-18,4.36693906e-15,-2.81126669e-14,-6.98917875e-27,6.27019229e-14,1.12681283e-29,-9.1676691e-14,0.999999449,3.4125517e-10,3.62029229e-11,3.65938883e-20,4.15779277e-15,1.33125635e-22,2.98460819e-15,1.03804296e-15,-3.1626414e-18,7.01129566e-12,-1.8982703e-18,9.24865505e-13,3.33439749e-17,1.02911155e-13,1.07862071e-20,-9.25708577e-15,6.6320131e-16,-6.17542996e-15,1.2699151e-14,-6.35194528e-15,1.95980821e-13,2.84144367e-32,6.55173719e-13,-2.95118873e-15,3.72590765e-17,1.5470697e-14,-3.37655454e-19,2.83760639e-14,1.55036154e-19,1.17404922e-14,-2.58582333e-14,1.87108516e-17,8.43342015e-15,6.27959627e-20,4.37492587e-09,-4.56939381e-17,-3.13020372e-18,1.14253511e-16,1.97290292e-18,-9.07447364e-15
0.003,0.169283201,6.16069992,-251.284298,300.000145,0.651690183,1.77897489e-06,2.3461348e-15,-1.10753205e-14,1.59117302e-11,-6.91725327e-18,1.12233593e-08,3.92055742e-17,4.55329756e-15,-2.80936433e-14,-7.65432372e-27,6.0410664e-14,9.97357055e-29,-6.8629427e-14,0.999998166,3.16495002e-09,4.2990651e-10,1.11230171e-18,3.47464583e-14,2.19652181e-22,2.98184144e-15,1.29926296e-14,-5.87898492e-18,8.11551582e-11,-1.93055865e-19,1.1215904e-11,3.87550892e-16,1.49071578e-12,8.71674195e-21,1.54213846e-14,7.47393247e-15,-6.17966887e-15,1.26894867e-14,-6.34468119e-15,1.83077124e-12,2.73494786e-31,6.09761598e-12,-5.72699141e-17,4.45359313e-16,1.5485469e-14,-2.50924553e-18,3.44850146e-13,2.05661291e-18,1.17384146e-14,-1.37644121e-14,2.13501319e-16,1.00600203e-13,-7.38572602e-21,4.02471323e-08,-4.56937849e-17,2.72632294e-18,2.78490352e-16,2.21786639e-17,-9.04693668e-15
0.00375,0.158891264,7.70089096,-251.284298,300.000931,0.651673338,5.13473003e-06,2.60950343e-15,-7.36201984e-15,1.09790959e-10,-4.59717354e-18,7.75197347e-08,2.73411488e-16,5.79850252e-15,-2.80045226e-14,-7.18089259e-27,5.80348871e-14,6.62125705e-28,1.10688971e-13,0.999994482,2.21227882e-08,3.73527581e-09,8.98439983e-18,3.02924293e-13,9.59638632e-22,2.98446295e-15,1.18999593e-13,-3.57049162e-18,6.89284546e-10,3.34456657e-20,9.85437175e-11,3.58176433e-15,1.40741644e-11,5.63815235e-20,2.56779594e-13,7.40845464e-14,-6.19971067e-15,1.26471312e-14,-6.31135582e-15,1.28765021e-11,2.11069787e-30,4.27477293e-11,2.2136557e-14,3.89054714e-15,1.55848995e-14,-1.35301551e-17,3.17818337e-12,1.86526822e-17,1.17278106e-14,8.81898365e-14,1.85566891e-15,8.77587584e-13,-5.01007004e-19,2.79313814e-07,-4.5693398e-17,6.79810814e-17,2.1136475e-15,2.20259559e-16,-8.77620452e-15
0.0045,0.146196305,9.24114197,-251.284298,300.005508,0.65162412,1.39073029e-05,3.20023951e-15,-4.86076113e-15,6.99318521e-10,-3.028861e-18,4.94264242e-07,1.74649962e-15,1.36841349e-14,-2.7623874e-14,-4.92891211e-27,5.54503488e-14,4.04492413e-27,1.2279382e-12,0.999983629,1.42753303e-07,2.9985076e-08,6.23954268e-17,2.52622377e-12,6.89807011e-21,3.04229825e-15,1.00800859e-12,-7.28832249e-19,5.40830689e-09,5.09230692e-19,7.99459392e-10,3.08144771e-14,1.21934013e-10,6.46456692e-19,2.48719986e-12,6.89646953e-13,-6.28489611e-15,1.24759995e-14,-6.1648249e-15,8.36053455e-11,1.65788225e-29,2.76653762e-10,1.83256644e-13,3.14051558e-14,1.62178859e-14,-6.12545007e-17,2.71611593e-11,1.59372793e-16,1.16779399e-14,9.01190303e-13,1.49507686e-14,7.07337542e-12,-3.73426469e-18,1.7894238e-06,-4.56925255e-17,7.54434284e-16,2.14731574e-14,2.05468063e-15,-6.26038804e-15
