z,u,V,T,rho,Z,PV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,5.300708369999999892e-02,-3.301888099999999849e-19,3.000000000000000000e+02,6.512848799999999549e-01,1.000000000000000000e+00,2.754230565076443843e-05,1.288127447845639068e-02,-2.953914666666649924e-01,9.559018049602105427e-05,1.233907099948638624e-14,0.000000000000000000e+00,2.240981179906719394e-09,0.000000000000000000e+00,1.613682279932830704e-05,2.590993119892150243e-15,3.935323119836193001e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.264621369947360473e-15,1.303028239945761576e-11,9.998230729583823528e-01,5.046987979789919884e-06,1.568118889934727203e-06,2.463696059897448968e-15,6.223130509740962748e-11,0.000000000000000000e+00,7.596390889683800640e-17,3.639942509848487586e-11,4.220147229824336185e-18,3.478402319855212070e-07,1.000564989958351591e-16,3.648342279848138139e-08,1.319123519945091555e-12,5.467677549772409038e-09,0.000000000000000000e+00,1.377688729942653847e-10,4.125067319828294167e-11,6.296394319737912713e-14,9.906585129587640321e-15,0.000000000000000000e+00,3.912945709837123933e-09,1.682588029929962516e-27,7.549009649685771521e-09,1.439288209940089865e-12,1.465817789938985499e-12,0.000000000000000000e+00,5.657985589764487419e-15,1.960028249918414104e-09,8.758733789635419594e-15,0.000000000000000000e+00,2.079635279913435219e-11,5.598720009766953862e-13,2.520429659895087221e-10,4.004047989833332050e-16,5.817890709757830267e-05,1.512788049937030289e-20,4.702617409804253982e-14,1.308338469945540519e-12,6.946018989710872573e-14,1.830211239923817607e-13
3.750000000000000078e-04,5.289631189999999955e-02,3.736029499999999892e-01,3.001203489999999761e+02,6.509247169999999860e-01,9.999699049071812951e-01,3.732529187053408842e-05,1.347087504552660908e-01,-9.950634666666680062e-01,1.213217690237479202e-04,9.952096121948056553e-15,0.000000000000000000e+00,4.213523410824768383e-09,0.000000000000000000e+00,3.035768360594230767e-05,4.816149820942729021e-15,7.415356401451504734e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.303476400450890432e-22,2.427267480475121250e-11,9.997247631956893699e-01,9.559806851871266464e-06,3.382814050662162893e-06,5.446081361066033582e-15,1.378650910269861483e-10,0.000000000000000000e+00,1.380728810270268304e-16,8.122225301589870227e-11,5.758047531127099001e-20,7.398501131448205951e-07,2.190096340428696399e-16,7.921891661550656539e-08,2.974259280582191080e-12,1.236933250242121214e-08,0.000000000000000000e+00,3.270435320640165278e-10,9.792317211916779293e-11,5.263334101030261500e-14,7.716182821510391123e-15,0.000000000000000000e+00,7.437782601455895300e-09,3.188489530624125185e-27,1.432296900280362478e-08,2.941445340575767596e-12,3.215836150629477940e-12,0.000000000000000000e+00,3.998691200782717040e-16,4.399086650861091422e-09,1.972993120386200236e-14,0.000000000000000000e+00,4.497660210880386665e-11,1.210833750237012434e-12,5.450926811066982517e-10,8.642301871691672269e-16,1.097516460214831345e-04,1.512797140296119863e-20,1.216563350238133942e-13,3.392894490664136147e-12,1.651758060323320327e-13,4.388565740859031745e-13
7.500000000000000156e-04,5.252316309999999905e-02,7.476852590000000465e-01,3.003367809999999736e+02,6.503412140000000008e-01,9.998725822016271136e-01,5.182948308283358388e-05,5.806716564345224540e-01,-1.663977066666655791e+00,1.539499259357148334e-04,8.537868286434826309e-15,0.000000000000000000e+00,7.916218686694409197e-09,0.000000000000000000e+00,5.706335357617194092e-05,8.946035036264388450e-15,1.397550139416422197e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.494373528123276128e-11,9.995548865826138218e-01,1.809361379244461598e-05,7.290118616955850916e-06,1.040451899565536502e-14,3.050897428726030610e-10,0.000000000000000000e+00,3.033573518733264775e-16,1.810417299244020569e-10,5.907895077533028394e-22,1.572090199343539065e-06,4.017613358322357326e-16,1.718357649282461967e-07,6.697578967203279119e-12,2.795247878832783125e-08,0.000000000000000000e+00,7.754329856762008563e-10,2.321791539030484959e-10,4.033286258315812805e-14,5.394907097747237750e-15,0.000000000000000000e+00,1.412592919410140896e-08,5.204951737826558533e-27,2.715398558866125784e-08,6.005620627492220836e-12,6.997754777077933916e-12,3.648096328476657652e-15,0.000000000000000000e+00,9.862337905881763116e-09,4.386894798168155820e-14,0.000000000000000000e+00,9.717178385942379040e-11,2.615991488907635315e-12,1.177661729508241641e-09,1.308169009453745472e-15,2.068826219136116217e-04,1.512837529368281632e-20,3.143157688687505502e-13,8.783986176332053842e-12,3.903614988369959962e-13,1.047157039562736476e-12
1.124999999999999915e-03,5.189917170000000329e-02,1.122632910000000095e+00,3.007242459999999937e+02,6.493794029999999662e-01,9.996705216269395899e-01,7.410838079340469140e-05,2.291035201124308252e+00,-2.282577066666679144e+00,1.952337109909119031e-04,7.040696369672257546e-15,0.000000000000000000e+00,1.483666849930935480e-08,0.000000000000000000e+00,1.069909549950195780e-04,1.663507529922563735e-14,2.628889699877625583e-13,0.000000000000000000e+00,3.560720419834248866e-28,0.000000000000000000e+00,0.000000000000000000e+00,8.300334829613619569e-11,9.992550319534847514e-01,3.416127599840979598e-05,1.566149139927095962e-05,1.876190639912663736e-14,6.729281949686752855e-10,0.000000000000000000e+00,7.044555259672076927e-16,4.021947149812779015e-10,9.225161339570569727e-23,3.330321169844973954e-06,7.000029659674149304e-16,3.715543299827041686e-07,1.503156559930028378e-11,6.295633369706937873e-08,0.000000000000000000e+00,1.831967989914721994e-09,5.485239809744662532e-10,2.717864849873483854e-14,3.245555939848919892e-15,0.000000000000000000e+00,2.675931509875435975e-08,8.206776499617976150e-27,5.135257049760954768e-08,1.222652399943085549e-11,1.513169659929562086e-11,3.008302649859963689e-14,0.000000000000000000e+00,2.203616899897422046e-08,9.689601909548950441e-14,0.000000000000000000e+00,2.092812569902579792e-10,5.634114449737733113e-12,2.536344099881933632e-09,1.582021479926357219e-15,3.890344369818905215e-04,1.512916409929573817e-20,8.088900099623463036e-13,2.264741469894576580e-11,9.179585539572690366e-13,2.485740659884289151e-12
1.500000000000000031e-03,5.104320529999999828e-02,1.499131610000000059e+00,3.014127290000000130e+02,6.477788340000000256e-01,9.992691634171331216e-01,1.094644833466327995e-04,8.475590510930986810e+00,-2.821153333333326962e+00,2.472754050271876039e-04,5.550218710610239845e-15,0.000000000000000000e+00,2.767666760304301569e-08,0.000000000000000000e+00,1.996265720219486911e-04,3.100829930340932305e-14,4.923290530541310002e-13,0.000000000000000000e+00,5.246591790576855726e-28,0.000000000000000000e+00,0.000000000000000000e+00,1.528132380168016232e-10,9.987191171098079856e-01,6.419164860705778828e-05,3.344671120367742346e-05,3.329631610366088708e-14,1.475031650162177787e-09,4.129414040454024303e-18,1.633178340179565990e-15,8.878951280976229611e-10,6.796375700747252372e-23,7.014118490771193269e-06,1.155290910127022893e-15,7.985847770878033415e-07,3.352706600368625825e-11,1.408996700154917215e-07,0.000000000000000000e+00,4.298854780472653165e-09,1.287150500141520470e-09,1.506848870165676239e-14,1.591056340174934768e-15,0.000000000000000000e+00,5.044103140554592994e-08,1.246834200137087962e-26,9.665371601062695667e-08,2.475492220272177294e-11,3.248101240357123933e-11,7.865873840864842979e-14,0.000000000000000000e+00,4.892524930537926612e-08,2.127518150233917931e-13,0.000000000000000000e+00,4.480574040492633382e-10,1.206225640132622930e-11,5.430123930597034763e-09,1.522019610167344121e-15,7.281511020800593729e-04,1.513020470166354732e-20,2.066486770227207618e-12,5.795564080637214392e-11,2.144510090235786146e-12,5.856895480643958360e-12
1.874999999999999931e-03,4.998527280000000100e-02,1.878376559999999973e+00,3.026229410000000257e+02,6.451126480000000107e-01,9.984971919424011633e-01,1.670590566415609628e-04,2.966017090157178160e+01,-3.237473066666663790e+00,3.125113020186542434e-04,4.194280460250363058e-15,0.000000000000000000e+00,5.124435040305884575e-08,0.000000000000000000e+00,3.695834090220608925e-04,5.808484780346715881e-14,9.152802700546343383e-13,0.000000000000000000e+00,5.217318150311428452e-28,0.000000000000000000e+00,0.000000000000000000e+00,2.798257180167031302e-10,9.977575070595574580e-01,1.197141440071459019e-04,7.076762630422421682e-05,5.982241860357088081e-14,3.201804020191120045e-09,4.868322080290595982e-17,3.717112640221880230e-15,1.940947230115857676e-09,3.610421020215511294e-23,1.463872740087380554e-05,1.803252060107638778e-15,1.700320710101494455e-06,7.406261200442088894e-11,3.122436780186382684e-07,0.000000000000000000e+00,9.982012400595839997e-09,2.988777840178404232e-09,6.027640530359798046e-15,5.966340240356139529e-16,0.000000000000000000e+00,9.433491050563097934e-08,1.841707440109933936e-26,1.805449320107769834e-07,4.968900770296600232e-11,6.903351550412070028e-11,1.672595720099839624e-13,0.000000000000000000e+00,1.075512490064198725e-07,4.634090700276614465e-13,0.000000000000000000e+00,9.503539640567278077e-10,2.558468050152718652e-11,1.151755630068749808e-08,1.093428480065268357e-15,1.352800240080750558e-03,1.513076230090317689e-20,5.220023450311589989e-12,1.466166580087517549e-10,4.961926700296183727e-12,1.365129310081486444e-11
2.249999999999999830e-03,4.877122040000000242e-02,2.262395820000000057e+00,3.047191579999999931e+02,6.407086709999999519e-01,9.970530725683476314e-01,2.624465814891172749e-04,1.456971579965080821e+02,-3.634482000000002433e+00,3.936309681936127499e-04,3.136491601542726284e-15,0.000000000000000000e+00,9.386350064616804256e-08,7.096088103490306260e-18,6.765553733327730242e-04,1.098470310540297696e-13,1.683432020828019044e-12,0.000000000000000000e+00,2.739593421347506593e-28,0.000000000000000000e+00,0.000000000000000000e+00,5.081737922499522996e-10,9.960392474899155690e-01,2.208465101086263659e-04,1.477566750726761445e-04,1.108962400545458264e-13,6.853721613371096958e-09,1.438142200707370029e-16,8.263020524064280624e-15,4.183688682057804473e-09,1.188289500584476344e-23,3.015617791483272861e-05,2.747516331351403922e-15,3.571884291756880194e-06,1.613828360793783437e-10,6.822960583355966862e-07,0.000000000000000000e+00,2.283406471123124690e-08,6.836879483362812856e-09,9.829314894834681847e-16,1.586119150780154376e-16,0.000000000000000000e+00,1.744229730857923219e-07,2.759701861357397100e-26,3.335897181640806522e-07,9.850590644845147733e-11,1.447399990711923223e-10,3.269892531608341024e-13,0.000000000000000000e+00,2.330940961146505020e-07,9.975365774906519825e-13,0.000000000000000000e+00,1.989073660978353046e-09,5.354824152633843368e-11,2.410599651185686461e-08,5.102462002509715138e-16,2.486649461223092335e-03,1.512865430744123855e-20,1.297750750638316444e-11,3.649393991795004200e-10,1.132329790556951857e-11,3.134050181541525128e-11
3.000000000000000062e-03,4.604535889999999965e-02,3.052103180000000027e+00,3.132483599999999910e+02,6.240062750000000547e-01,9.906517191421948532e-01,6.408728218684682596e-04,8.334683674015315091e+02,-3.731454266666666353e+00,6.107893087579524018e-04,2.849815208870656773e-15,0.000000000000000000e+00,2.768447328902901745e-07,8.624363016582279930e-17,1.988845669211846898e-03,3.607210978570510768e-13,4.998771158019054356e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.486584209410886711e-09,9.887001466081913881e-01,6.589246787388769195e-04,5.339402807884066323e-04,3.656932948550806967e-13,2.568967718981952764e-08,6.581177287391967942e-16,3.234947208718034082e-14,1.584717969371997425e-08,3.345269958674314630e-25,1.067728829576873389e-04,8.114952026784154369e-15,1.302366429483889613e-05,6.224785987533200890e-10,2.640528938953593616e-06,0.000000000000000000e+00,9.451490306254500727e-08,2.829919258878540885e-08,0.000000000000000000e+00,7.593621266990748614e-17,0.000000000000000000e+00,5.211195397934873549e-07,1.038477369588465392e-25,9.977436426046075805e-07,3.287178398697335522e-10,5.262812097914417935e-10,1.012364829598813305e-12,0.000000000000000000e+00,8.900022126473040928e-07,3.783197658500770094e-12,0.000000000000000000e+00,7.214229107141098554e-09,1.942154899230350026e-10,8.743058686535243446e-08,0.000000000000000000e+00,7.381966557074625367e-03,1.509869369401659018e-20,6.069063307594912232e-11,1.708421239322975543e-09,4.678908318145811469e-11,1.304059999483218750e-10
3.749999999999999861e-03,4.324676820000000060e-02,3.890910410000000041e+00,3.319429380000000265e+02,5.914485790000000298e-01,9.753411679329248019e-01,1.469342220180132807e-03,3.648189370536321348e+03,-3.503240533333332074e+00,9.089279953593246055e-04,6.922497342736657542e-15,1.318909700521401878e-16,7.023715992776671797e-07,5.109460422019912984e-16,5.004681381978490044e-03,1.227129910485118883e-12,1.275330140504173752e-11,0.000000000000000000e+00,3.557771311406486540e-30,1.998273310789973061e-17,1.495146220591072921e-24,3.838008171517271735e-09,9.715674013840878143e-01,1.688084420667346945e-03,1.593588940629990514e-03,1.165263650460661156e-12,7.876035243113617510e-08,2.548996951007690093e-15,1.005592770397538946e-13,4.900564981937330424e-08,7.058281052790337268e-26,3.135030001239365294e-04,4.878238681928504357e-14,3.912060731546547325e-05,1.967054560777631865e-09,8.327570403292123031e-06,7.643685393021763061e-16,3.142136891242174815e-07,9.408017133719253119e-08,0.000000000000000000e+00,3.639583731438829622e-16,0.000000000000000000e+00,1.329567340525615336e-06,1.266121120500533220e-24,2.560798191012355256e-06,9.191092413633496445e-10,1.578370120623973889e-09,2.603982201029427116e-12,0.000000000000000000e+00,2.768604461094506892e-06,1.170315400462658490e-11,0.000000000000000000e+00,2.159353370853652700e-08,5.813227802298132027e-10,2.616957961034556685e-07,0.000000000000000000e+00,1.886816800745911779e-02,1.497372280591953323e-20,2.235458020883739213e-10,6.273177872479963025e-09,1.556413160615293666e-10,4.353474441721050067e-10
4.499999999999999660e-03,4.061933780000000216e-02,4.807777319999999577e+00,3.680662510000000225e+02,5.393373280000000047e-01,9.433091018043819886e-01,3.086264698770390530e-03,9.385649860517187335e+03,-3.484490399999999877e+00,1.282275070325659830e-03,3.022463960767616612e-14,1.537070490390370440e-15,1.571250630399051145e-06,2.148929820545764766e-15,1.101291300279695282e-02,4.600216931168318749e-12,2.867388590728231754e-11,0.000000000000000000e+00,5.864793231489483654e-28,3.975470271009651772e-16,3.051673710775034701e-23,9.170669272329080031e-09,9.361769552377612325e-01,3.811657480968047920e-03,4.112241311044387282e-03,3.723454900945647834e-12,2.072604610526380113e-07,1.097321060278687101e-14,2.546681930646781682e-13,1.300036400330170747e-07,3.190303940810242840e-24,7.971510762024527257e-04,3.967127371007533286e-13,1.013833030257483485e-04,5.396006481370425582e-09,2.257579640573358337e-05,9.335557342370955636e-15,8.912650042263549919e-07,2.668569850677737701e-07,0.000000000000000000e+00,2.578934240654973367e-15,1.109345950281741071e-14,2.965582430753170299e-06,3.773153900958269592e-23,5.790137231470523314e-06,2.230164480566395982e-09,4.089719761038667930e-09,5.820486001478231616e-12,0.000000000000000000e+00,7.377211361873593666e-06,3.074684230780878531e-11,0.000000000000000000e+00,5.585155501418464191e-08,1.503588340381866920e-09,6.768746321719060973e-07,6.281229951595246152e-18,4.266287111083510303e-02,1.460546930370935748e-20,7.006182981779362623e-10,1.947013350494483559e-08,4.421526101122937107e-10,1.239365200314762026e-09
4.874999999999999993e-03,3.931265390000000109e-02,5.304569719999999933e+00,3.954651430000000119e+02,5.068813250000000492e-01,9.176200281383734003e-01,4.314469207085499386e-03,1.607300579239316903e+04,-3.866116266666660195e+00,1.486511809777046021e-03,8.364658078745429610e-14,3.702066539444747290e-15,2.254185439661906871e-06,4.255227829361781471e-15,1.559031419766169178e-02,9.972350398504300984e-12,4.124044409381456215e-11,0.000000000000000000e+00,4.572241119314233916e-27,1.083204059837536255e-15,1.912658539713130546e-22,1.428558899785737989e-08,9.079544778638206637e-01,5.495802559175713697e-03,6.336251219049659697e-03,7.211885188918327103e-12,3.217026199517495128e-07,2.998856659550217339e-14,3.856543909421577154e-13,2.026745589696019149e-07,2.707334569593941466e-23,1.218742599817207277e-03,1.380948889792878875e-12,1.564071919765413078e-04,8.674780838698916573e-09,3.568253849464816593e-05,2.801641409579796718e-14,1.440819909783899076e-06,4.313992669352966880e-07,0.000000000000000000e+00,7.971512958804394814e-15,2.317988549652337372e-14,4.229679239365612559e-06,3.028914449545708933e-22,8.352753838747213860e-06,3.313335519503050521e-09,6.313431869053081727e-09,8.278888378758293445e-12,0.000000000000000000e+00,1.152071329827206977e-05,4.660816619300949254e-11,0.000000000000000000e+00,8.614067018708022066e-08,2.319008569652184074e-09,1.043954379843422764e-06,1.836363309724573488e-17,6.169585409074657134e-02,1.424484169786349229e-20,1.197755339820354911e-09,3.296743229505538941e-08,7.134813718929886700e-10,2.006183249699103122e-09
5.250000000000000326e-03,3.786286030000000219e-02,5.825968269999999727e+00,4.300722319999999854e+02,4.724017380000000155e-01,8.840025740441436186e-01,5.853608386046680462e-03,2.425908770377815745e+04,-4.798840800000006901e+00,1.692518890535179730e-03,2.381467550753027030e-13,7.966938012519170902e-15,3.133351740990775492e-06,7.711419472438374856e-15,2.130608270673704785e-02,2.091062040661200506e-11,5.746559291817080108e-11,0.000000000000000000e+00,3.258180591030246754e-26,2.593485490820068526e-15,1.380235600436434849e-21,2.208064570698196574e-08,8.711172232754499367e-01,7.678748202428043942e-03,9.438851762984593746e-03,1.346628960425808198e-11,4.815623641522715676e-07,8.217166452598293740e-14,5.439600281720018247e-13,3.047498250963628352e-07,2.300952420727567920e-22,1.801174140569536918e-03,4.616082731459618814e-12,2.330708220736977328e-04,1.354323780428241390e-08,5.449086341723017706e-05,7.444880582354092966e-14,2.247519570710672633e-06,6.729298222127825320e-07,0.000000000000000000e+00,2.464198600779187126e-14,3.947962941248358168e-14,5.826126211842239064e-06,2.551484870806787759e-21,1.167464660369155980e-05,4.740758031499042543e-09,9.419630722978517297e-09,1.131226190357697089e-11,0.000000000000000000e+00,1.734345260548405304e-05,6.624924822094822262e-11,0.000000000000000000e+00,1.284070110406026896e-07,3.456875291093074581e-09,1.556190250492072165e-06,4.055500961282361494e-17,8.663435692739404614e-02,1.371433340433651491e-20,1.972253050623632380e-09,5.384838341702702318e-08,1.104778960349334403e-09,3.130800460989968481e-09
