grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.0853204474,-1.42181463e-19,-76.4694151,300,0.651651214,1.04885821e-05,-4.55805258e-14,8.55706732e-17,7.14951129e-11,-1.31056163e-14,1.85322346e-07,3.02044893e-17,-7.20323917e-16,3.04793337e-13,8.30760772e-16,-1.5255374e-18,-1.87986515e-13,-1.13781763e-13,0.999988596,5.47677466e-08,9.52154697e-09,-7.95795315e-17,4.64183375e-13,-1.7747436e-17,-2.31816723e-15,2.32003978e-13,-2.56611308e-14,2.0606915e-09,-2.83591207e-18,2.30208389e-10,7.86551069e-15,3.06511856e-11,-1.29834036e-18,6.72851949e-13,1.82190682e-13,-5.88784111e-13,4.14163483e-13,-1.09032773e-13,3.79804375e-11,-8.36171462e-29,9.20896055e-11,2.51883805e-14,-2.16604536e-14,3.36335111e-13,5.49674309e-14,9.36392241e-12,1.27751275e-17,-5.65383011e-14,2.7925602e-13,3.92601002e-15,1.80588917e-12,-6.16549377e-17,6.6364724e-07,-3.8004788e-18,1.62549261e-16,3.14569836e-14,3.22623392e-16,5.36012625e-16
0.000375,0.0851304775,0.51578003,-76.4694151,300.002779,0.651624883,1.50340787e-05,-4.36442288e-14,1.66882411e-16,1.72834638e-10,-3.01307611e-17,4.48331432e-07,7.26932076e-17,8.85121739e-16,3.02144797e-13,1.63057188e-22,-3.38469473e-18,-4.37783443e-20,-2.7186289e-13,0.999982739,1.33626295e-07,2.72664194e-08,-2.34196527e-16,1.37269521e-12,-1.77488096e-17,-2.3067532e-15,6.92104635e-13,-4.24076074e-15,5.80060372e-09,-7.38185934e-18,6.64472099e-10,2.37593716e-14,9.29571733e-11,-2.83275e-18,1.99817755e-12,5.847454e-13,-5.85829902e-13,4.09065913e-13,-1.08959206e-13,9.30772067e-11,-2.04124801e-28,2.25157657e-10,6.75164795e-14,-2.26292914e-15,3.36472366e-13,4.67707477e-14,2.81299123e-11,3.88484706e-17,-5.64425621e-14,6.10396984e-13,1.12766091e-14,5.18730432e-12,-1.76865071e-16,1.61094619e-06,-3.80044263e-18,5.7569196e-16,4.30297188e-14,1.03371377e-15,2.19017795e-15
0.00075,0.0845557682,1.03158183,-76.4694151,300.009148,0.651582296,2.15451746e-05,-4.11220595e-14,3.24200173e-16,4.17496428e-10,2.78523053e-19,1.08375964e-06,2.01257378e-16,4.78425028e-15,2.97222431e-13,-7.40477241e-28,-5.59725647e-18,-9.93945934e-27,4.21208051e-13,0.99997304,3.25775473e-07,7.80068642e-08,-5.59462032e-16,4.05542236e-12,-1.77509403e-17,-2.28507096e-15,2.06260661e-12,-5.22165691e-16,1.63127514e-08,-1.94951e-17,1.91607022e-09,7.17516573e-14,2.81550802e-10,-9.51829416e-18,6.24920555e-12,1.8759659e-12,-5.80197101e-13,4.00012887e-13,-1.08839621e-13,2.27920348e-10,-4.66529448e-28,5.5007547e-10,1.80818094e-13,5.21207549e-14,3.36833952e-13,3.81098415e-14,8.4402306e-11,1.58097986e-16,-5.62542296e-14,1.56017869e-12,3.23596411e-14,1.48835164e-11,-4.3760887e-16,3.90739013e-06,-3.80040072e-18,2.04236875e-15,8.42053495e-14,3.36916255e-15,7.51932202e-15
0.001125,0.0835979267,1.54743516,-76.4694151,300.023686,0.651510388,3.08527059e-05,-3.81249834e-14,5.98448988e-16,1.00581764e-09,7.41839347e-19,2.61280216e-06,5.69998418e-16,1.42159508e-14,2.88337092e-13,-9.24300024e-28,-9.06663356e-18,2.68398972e-28,2.23171848e-12,0.999956012,7.92089351e-07,2.22451951e-07,-1.22319437e-15,1.19413968e-11,-1.77507555e-17,-2.23652649e-15,6.12636739e-12,-4.70576916e-17,4.57302056e-08,-5.05454909e-17,5.5072542e-09,2.15989215e-13,8.49815724e-10,-3.08352078e-17,1.98204038e-11,5.99816236e-12,-5.69726322e-13,3.84402818e-13,-1.0864159e-13,5.56600554e-10,-1.0467231e-27,1.34024562e-09,4.82800732e-13,2.04463521e-13,3.37771347e-13,2.98273134e-14,2.52404832e-10,6.15207745e-16,-5.58849129e-14,4.27223308e-12,9.25611548e-14,4.25648719e-11,-1.00217004e-15,9.45213383e-06,-3.80036063e-18,7.22358208e-15,2.29987176e-13,1.09946141e-14,2.46070634e-14
0.0015,0.0822600698,2.06341047,-76.4694151,300.056652,0.651383198,4.41118143e-05,-3.46068668e-14,9.99674319e-16,2.4110222e-09,1.4634042e-18,6.2674175e-06,1.58563368e-15,3.68765982e-14,2.72962216e-13,-9.93170558e-28,-1.58833236e-17,3.37954367e-28,6.71837143e-12,0.99992417,1.91611525e-06,6.30583772e-07,-2.50040491e-15,3.49465495e-11,-1.77304426e-17,-2.11427891e-15,1.80841822e-11,-3.05666495e-18,1.27444743e-07,-1.27435355e-16,1.573419e-08,6.46115476e-13,2.54930809e-09,-9.02960652e-17,6.28035662e-11,1.9054239e-11,-5.50956152e-13,3.58637413e-13,-1.08308353e-13,1.35232278e-09,-2.28958096e-27,3.24887385e-09,1.28189399e-12,6.29456998e-13,3.40162059e-13,2.29982956e-14,7.50178555e-10,2.2052404e-15,-5.51729637e-14,1.19585235e-11,2.63179492e-13,1.21003901e-10,-2.14866869e-15,2.27498497e-05,-3.80034137e-18,2.53759723e-14,7.41865246e-13,3.56563997e-14,7.89646927e-14
0.001875,0.0805483407,2.57967339,-76.4694151,300.1307,0.651148047,6.29077905e-05,-3.04970729e-14,1.37900257e-15,5.73544668e-09,2.66011458e-18,1.49190905e-05,4.28930024e-15,9.08008383e-14,2.47947211e-13,-9.95259216e-28,-3.13847214e-17,3.85952502e-28,1.74323837e-11,0.999861041,4.59960607e-06,1.77157186e-06,-4.73280457e-15,1.01335006e-10,-1.76152723e-17,-1.78565353e-15,5.28900021e-11,-1.41111588e-19,3.52051004e-07,-3.08471568e-16,4.45489986e-08,1.91470305e-12,7.57711939e-09,-2.44092994e-16,1.97415585e-10,5.99427887e-11,-5.19002046e-13,3.18774797e-13,-1.07740474e-13,3.26019605e-09,-4.83366722e-27,7.81493073e-09,3.37488743e-12,1.80631341e-12,3.46152327e-13,1.85947208e-14,2.20905725e-09,7.41915741e-15,-5.38404416e-14,3.35116696e-11,7.41610755e-13,3.40925045e-10,-4.26883692e-15,5.43374295e-05,-3.80038216e-18,8.82293634e-14,2.51815168e-12,1.14379599e-13,2.49939134e-13
0.00225,0.0784748619,3.09660986,-76.4694151,300.294981,0.650697296,8.93815809e-05,-2.57789272e-14,1.13855545e-15,1.35023648e-08,4.26970898e-18,3.51437757e-05,1.12691618e-14,2.17514327e-13,2.10807231e-13,-9.73690513e-28,-6.93871062e-17,1.99679276e-28,4.23722117e-11,0.99973004,1.09258462e-05,4.9171016e-06,-7.99777661e-15,2.90209907e-10,-1.71360617e-17,-8.77824352e-16,1.52760798e-10,-3.95921806e-21,9.60938392e-07,-6.99541917e-16,1.24604169e-07,5.60245961e-12,2.22394846e-08,-6.23028335e-16,6.12780766e-10,1.86111347e-10,-4.68478681e-13,2.6284257e-13,-1.06764524e-13,7.77682493e-09,-9.72487932e-27,1.86012716e-08,8.78364707e-12,5.03010416e-12,3.60865493e-13,1.68236028e-14,6.42382006e-09,2.37842234e-14,-5.14517352e-14,9.31090068e-11,2.06453725e-12,9.48972754e-10,-7.66496092e-15,0.000128434992,-3.80055222e-18,3.02522318e-13,8.58729085e-12,3.61478319e-13,7.79784116e-13
0.003,0.0733094911,4.13470729,-76.4694151,301.206096,0.648499221,0.000173818116,-1.49098335e-14,-5.55792139e-15,5.92918221e-08,4.67172135e-18,0.000154416871,5.68188227e-14,9.69533687e-13,1.04578288e-13,-9.9165566e-28,-3.17960889e-16,-7.31445898e-27,1.8787175e-10,0.999022194,4.86129483e-05,2.73161869e-05,-1.34851119e-14,1.68352395e-09,-1.2462844e-17,5.76314296e-15,8.96600701e-10,3.95408585e-23,5.21532738e-06,-2.17396881e-15,6.99651724e-07,3.34748511e-11,1.33465481e-07,-2.93336311e-15,3.96843003e-09,1.20540825e-09,-3.03978834e-13,1.17364843e-13,-1.02688746e-13,3.4805408e-08,-2.58441435e-26,8.30095581e-08,4.45769948e-11,2.79000539e-11,4.52031469e-13,1.57873001e-14,3.80565335e-08,1.55547354e-13,-4.17508704e-14,5.1893868e-10,1.15169951e-11,5.29316924e-09,-1.69249599e-14,0.00056736447,-3.80137505e-18,2.23626494e-12,6.34809076e-11,2.39136149e-12,5.08086654e-12
0.00375,0.0670078811,5.18733571,-76.4694151,304.102697,0.642188587,0.000319933268,-4.94913538e-15,-2.01385978e-14,2.14995318e-07,1.25150618e-17,0.000559663071,2.3817537e-13,3.54494072e-12,2.50458247e-14,-8.4417367e-28,-1.11866871e-15,-1.130532e-25,6.766167e-10,0.996726497,0.00017821358,0.000120378667,2.66968129e-14,7.68928985e-09,1.29866065e-17,3.48939076e-14,4.13553784e-09,1.64938598e-23,2.25414299e-05,-2.96434797e-15,3.11057318e-06,1.5685799e-10,6.27454538e-07,-9.921814e-15,1.9886306e-08,6.04058577e-09,-1.29091902e-13,2.42978275e-14,-9.31139462e-14,1.28098419e-07,-3.54337869e-26,3.0505175e-07,1.82176761e-10,1.22926823e-10,7.77445684e-13,7.87520176e-15,1.76898939e-07,7.7119752e-13,-2.57269415e-14,2.29451305e-09,5.0930705e-11,2.34061096e-08,-1.71209001e-14,0.00206814474,-3.80281047e-18,1.25412565e-11,3.56527896e-10,1.21917925e-11,2.55863248e-11
0.0045,0.0601027349,6.28010055,-76.4694151,312.558246,0.625389667,0.000559137879,2.58905336e-15,-1.4071227e-14,7.01218018e-07,2.32662704e-16,0.00181974633,9.54322639e-13,1.1642533e-11,2.44810969e-15,-3.34940087e-28,-1.37544485e-15,-3.94304575e-25,2.20206766e-09,0.989670066,0.000587454297,0.000472970829,2.7916658e-13,3.12376011e-08,1.32296137e-16,1.52616313e-13,1.69623057e-08,5.23296349e-25,8.69306577e-05,6.05436443e-15,1.23219554e-05,6.54938675e-10,2.62444138e-06,-1.40937016e-14,8.84373726e-08,2.68635537e-08,-2.97418149e-14,2.25269998e-15,-7.18101349e-14,4.22777122e-07,8.34169252e-26,1.00782949e-06,6.65482326e-10,4.84660596e-10,1.81929649e-12,1.44170562e-15,7.30872343e-07,3.2902241e-12,-9.50679071e-15,9.04522519e-09,2.00780709e-10,9.22704123e-08,-6.78165136e-15,0.00678561349,-3.80172935e-18,6.23532919e-11,1.77272403e-09,5.48333633e-11,1.14327559e-10
