x,Z,T,rho,PV,SourcePV,psi,mu,Cps,alpha,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.0,0.10913,294.0,1.09994306018044,2.0067556861964523e-06,5.062783884394528e-10,1.085559398154887e-05,1.7196720785411543e-05,1141.1279360868652,2.195252806925342e-05,8.01667367309176e-06,-1.278254253273321e-17,1.917358002495286e-18,0.2074900917591617,-8.626613567600867e-17,7.995213788935312e-08,2.178661992050557e-12,4.977098869897702e-11,1.636277116222705e-17,3.99171487260333e-30,2.582993353824772e-18,4.564207376991446e-33,4.367007319567481e-16,0.1091281545438094,1.990968904429255e-08,6.64797487906713e-10,1.389147170106892e-25,7.117740410607708e-11,3.217566896708681e-30,3.434494713478061e-21,2.054467116341791e-11,2.39342953093126e-17,1.179612783206414e-10,1.53047642522304e-31,1.56522272301577e-10,9.345754193286503e-27,3.686076956687639e-11,2.622745881855833e-27,6.650130305001506e-12,3.724476763547147e-15,4.79249709654835e-17,-2.632820167225974e-17,7.036117054564959e-17,2.271034303897711e-14,-2.076812059923472e-32,1.679541183449454e-17,1.481574983168098e-15,4.683724105637428e-16,9.678307912156961e-17,6.902876399713798e-18,2.933884256334628e-15,1.312730841268753e-16,-8.640829464745527e-30,1.484115478174565e-17,2.826909811789046e-19,2.678785974528934e-16,6.255815231492534e-19,0.6833736360348711,-6.276940360951492e-56,2.813405968420065e-21,6.330261812454961e-14,1.204371001174007e-25,9.880693645369384e-14
0.008,0.10913,294.0149119098982,1.0994993270726996,9.480961477658933e-06,2.7175945978065793e-17,1.0851214676266455e-05,1.7197335047791098e-05,1141.512929578764,2.198227469471036e-05,3.721410807350041e-05,-1.198508935584392e-23,1.871662236963442e-17,0.2074833730658159,1.157529047045649e-21,1.082646452118189e-06,3.153784593091415e-11,7.249165335845906e-10,4.800848021814241e-25,-4.575421959854172e-39,2.066267807045901e-24,4.535799329872525e-32,5.905579484308526e-15,0.1091208876579293,2.889960404545089e-07,1.246765461015087e-08,2.695379863924683e-24,1.356482416373343e-09,4.72063765827572e-29,6.589133206149362e-20,3.980851433468069e-10,4.272585843644705e-25,2.104496434588132e-09,1.864909601581134e-31,2.895822990644237e-09,1.862580383558039e-25,7.36923132174319e-10,3.249505129884322e-26,1.454991706740952e-10,8.145951601838956e-14,8.226138009658213e-19,-3.16631981952026e-21,6.713881675540961e-17,3.152635645552182e-13,-2.730930738276214e-32,2.50861002241479e-16,2.491516817927522e-14,8.85641583479413e-15,9.642061271804134e-17,3.39281044202771e-25,5.961633784652657e-14,1.313151987120574e-16,-4.570327293123137e-37,2.795051123025244e-16,5.323711374914084e-18,4.778261398513931e-15,1.171331430948819e-17,0.6833571326599733,-8.31407185517032e-56,7.143287193951412e-20,1.615482050586052e-12,2.701603531352246e-24,2.180235959477099e-12
0.016,0.10913,294.2143838926695,1.0969557909169383,4.6284249370215144e-05,1.3360228535243733e-14,1.0826111926147915e-05,1.720604827159166e-05,1143.346202072463,2.2136850443147693e-05,0.0001728401755702632,6.696656782585202e-24,4.210991034537306e-18,0.2074470473247936,1.605760157090186e-18,1.466720701810663e-05,4.572289357703563e-10,1.05638383454374e-08,1.45678322933583e-32,4.303448296867994e-39,2.399920091161353e-26,2.873558317625936e-31,7.944132195064977e-14,0.1090808019721882,4.197182932761641e-06,2.339300680158332e-07,4.869943920968e-25,2.586314938926417e-08,1.500126875905706e-26,1.280229642537071e-17,7.716966789975494e-09,7.821838679549846e-33,3.756464674749747e-08,7.865437934602851e-28,5.360191309813863e-08,8.322358125922149e-23,1.473987630476235e-08,1.479831549959683e-25,3.184809818347249e-09,1.783026286792288e-12,1.444402659082862e-20,9.60899483231229e-25,5.653672881732033e-17,4.373121620021906e-12,1.537007188787203e-32,2.964412003949299e-15,4.251426178003209e-13,1.675460761597034e-13,9.5986720337967e-17,1.712869284534562e-32,1.156882998436712e-12,1.321370822177229e-16,-1.569324100920251e-38,5.266332297715903e-15,1.003071338900352e-16,8.975956087264632e-14,1.072152909497272e-17,0.6832800584175414,4.476501557707325e-56,1.812787892748009e-18,4.124674065753275e-11,1.149227725696981e-23,4.812897580424436e-11
0.02,0.10913,295.2309578602157,1.089841458854763,0.000125646168930462,4.787847178702835e-13,1.075589892775487e-05,1.7251220699055302e-05,1146.9973398407724,2.250835418738688e-05,0.0004261445566382772,4.912731309413639e-22,1.507280977115645e-18,0.2073507708527056,5.61721673150241e-17,8.532772658820532e-05,2.856401056175901e-09,6.552488927435164e-08,1.009471564014482e-39,1.499835216470422e-40,7.208943815353508e-26,5.801475192370665e-29,4.632296007189987e-13,0.1089761108937125,2.596444441069432e-05,1.818791057748076e-06,9.026228739060083e-23,2.03997898975377e-07,4.129649479191006e-24,4.635533442849743e-16,6.179092366696032e-08,4.802710555653084e-34,2.792248106621214e-07,2.000668390450574e-25,4.116743698242675e-07,1.100811596496082e-20,1.214534771856115e-07,5.085700943364167e-24,2.849025052246049e-08,1.595034978151338e-11,5.344015838138018e-22,8.584575088414195e-24,4.706628714868465e-17,2.59726977030121e-11,1.175766963037759e-30,1.842506092460415e-14,3.036472134961271e-12,1.312417911722583e-12,9.550951407802583e-17,3.252904267683091e-37,9.252300660637802e-12,1.382493031084617e-16,7.968948533296156e-41,4.110123682904138e-14,7.828494724385689e-16,7.004214010621501e-13,9.560898839353987e-18,0.6831326868058629,8.540351674844746e-56,1.8763849615415e-17,4.253562411508363e-10,4.944093241550929e-23,4.339040672810576e-10
0.022,0.10913,298.0347770376698,1.075688742902036,0.0002469904334614872,5.770421432052402e-12,1.061622248114518e-05,1.7376038061037223e-05,1151.895114865897,2.31600674994108e-05,0.0007254151357228707,1.072043090924329e-20,3.298108448377523e-18,0.2071564806140098,6.388694687360144e-16,0.0002857286630021991,1.042055738974523e-08,2.320025144221094e-07,-1.9167949634751e-46,1.780565364229589e-42,7.67186062727056e-25,2.234097498566408e-27,1.574783689390276e-12,0.1087807815205107,9.177433972027912e-05,7.857601705605562e-06,4.454374990572634e-21,8.923573582501019e-07,2.065351414359724e-22,5.674527040461313e-15,2.739609421486601e-07,2.929830450122987e-32,1.159181998103777e-06,1.019346834734581e-23,1.759139353811633e-06,4.520961159154368e-19,5.527312928953522e-07,2.713081549865887e-22,1.39581537742322e-07,7.814513057796781e-11,3.840594854202791e-23,3.292992008703846e-23,4.290551618575613e-17,8.85526376969077e-11,2.88806067371689e-29,6.79118925745702e-14,1.216429628417298e-11,5.708012117575663e-12,9.476306839480032e-17,2.049672307580106e-35,4.097119856684505e-11,1.623824164978375e-16,2.673106825467103e-42,1.781753214471838e-13,3.393679244655443e-15,3.036293593789556e-12,8.493731291902244e-18,0.68294693800534,9.665603752750655e-56,1.123547859580325e-16,2.37322064288265e-09,1.439720794525622e-21,2.140822401477457e-09
0.024,0.10913,308.9294002328331,1.030642357169068,0.0005783418322346119,9.262663949793812e-11,1.0171649219531875e-05,1.7855959322904126e-05,1163.3347915020886,2.5187931031968732e-05,0.001290342156627443,3.862628375079965e-19,2.707927018457546e-17,0.2064646734707702,8.363439702854049e-15,0.001094910781929664,4.56172957253156e-08,9.487150393551808e-07,-6.59898704720069e-39,2.39684690520316e-39,3.519807776301252e-23,1.189249474973015e-25,6.341333076152068e-12,0.1081636391781036,0.00037497392385825,4.001378319176949e-05,2.992601036030295e-19,4.599732711010064e-06,1.374844353863959e-20,9.368351791251763e-14,1.433239883262177e-06,4.850692624651791e-30,5.652372547046549e-06,8.330425812781782e-22,8.84903980272349e-06,2.594063576840582e-17,2.979856092547394e-06,2.212773440042045e-20,8.144549590706694e-07,4.559750533757441e-10,2.168816952477945e-24,1.827377068684673e-22,4.727711999413125e-17,3.464912060146336e-10,1.622665436171597e-27,3.030470943886373e-13,5.700691884246727e-11,2.928408120090016e-11,9.242753903553092e-17,3.289796630500984e-33,2.139863207584754e-10,2.949814296025362e-16,3.761923873437129e-39,9.108313867115701e-13,1.734846628222857e-14,1.5521438112435e-11,6.455690630354699e-18,0.6825460940041017,1.102417451790412e-55,9.240587613163108e-16,1.595983170465988e-08,1.628554822151663e-19,1.25874634567703e-08
0.025,0.10913,325.435696526449,0.9728055420032673,0.0009963503616858358,5.687952044394969e-10,9.600844233933051e-06,1.8566951141232515e-05,1175.9643412961225,2.8025046612714072e-05,0.001751119108108993,4.3184770670825e-18,1.439391872518765e-16,0.2053880112158532,3.923227232106411e-14,0.002372446056206126,1.20690588055919e-07,2.152821541108524e-06,-4.010816689102815e-32,-1.458567532528748e-32,5.414298048839409e-22,1.496965996728837e-24,1.661900504264044e-11,0.1073199519555947,0.0008531411333833856,0.0001059587198336186,3.740958448649592e-18,1.225896135650766e-05,1.678911042667947e-19,5.854170907971752e-13,3.861121106719622e-06,2.204271965568658e-28,1.451949246536299e-05,1.402785577519252e-20,2.321911859206569e-05,2.95389953258588e-16,8.222082194918584e-06,3.349924039911647e-19,2.376683924021356e-06,1.330593978766834e-09,1.785606164041497e-25,6.415604848388699e-22,6.862927097191292e-17,7.622290525677051e-10,3.35941631707696e-26,8.346623974377359e-13,1.421979327561099e-10,7.797046585100288e-11,8.969836866544743e-17,1.355800317435198e-31,5.755046529395199e-10,5.739434145090701e-16,1.651296381228259e-33,2.418914789690696e-12,4.607268917354409e-14,4.122057684143979e-11,4.80223003095077e-18,0.6821425490556414,1.154789159035076e-55,5.161784536820909e-15,5.189419653934941e-08,3.921767602250678e-18,3.693944897896163e-08
0.026,0.10913,361.7443120415021,0.8681907014478206,0.001852748507914857,4.426843450532264e-09,8.568376032053492e-06,2.0069671542116474e-05,1200.1917881238317,3.437647494488704e-05,0.002381443561207639,8.238968890554645e-17,9.093674945655414e-16,0.202825347851606,1.905997490394677e-13,0.005297076024342625,3.590123683712452e-07,5.090043734825944e-06,7.508629095456915e-32,-7.901343630487039e-33,1.152440206023052e-20,2.502971035809502e-23,5.508480269544672e-11,0.1055294395318921,0.002029652721592846,0.0002971290488253472,5.220432498130373e-17,3.448290854586728e-05,2.220567391606689e-18,4.373955303005311e-12,1.099311000363898e-05,3.579737868247283e-26,3.939842943282203e-05,3.582906744311552e-19,6.440611370123104e-05,3.467394714183593e-15,2.413050214045385e-05,6.147330254960803e-18,7.397422370857051e-06,4.141472505812882e-09,7.70701887641318e-27,3.500652046301099e-21,1.36311303955215e-16,1.734074214500079e-09,2.016244065271007e-24,2.668769538693692e-12,3.730190657917908e-10,2.200186846716672e-10,8.543878092410432e-17,1.726540886417971e-29,1.634003325200251e-09,1.395569513337376e-15,-5.312518070631454e-33,6.806330020655399e-12,1.296390599145901e-13,1.159861669795646e-10,2.610140663840743e-18,0.681453347090943,1.200013722847616e-55,3.980950388177785e-14,1.826477228805062e-07,1.606093441674321e-16,1.156929545470699e-07
0.0265,0.10913,394.2573252751136,0.7925391905082453,0.0026013072547304674,1.8674927872670375e-08,7.821753668968612e-06,2.135373154103739e-05,1220.9082697094989,4.0370723553333034e-05,0.002770811172128931,6.704240334296e-16,3.643005565525332e-15,0.2003114611979539,5.801786138408502e-13,0.00800027879268469,6.991284446173643e-07,7.963366999689454e-06,-7.312137643449093e-33,1.238791003112891e-32,9.40869301141591e-20,2.026733416924178e-22,1.442408229634777e-10,0.10393593544748,0.003201840911525229,0.0005156102105741434,2.88177706767578e-16,5.976437279374704e-05,1.167005192058565e-17,1.677809671718653e-11,1.919644699490653e-05,1.207481536392293e-24,6.706043514031302e-05,3.219461206717746e-18,0.0001109656846991368,1.770177752879479e-14,4.305451459513128e-05,4.008187551978198e-17,1.36535057446104e-05,7.643966280899748e-09,6.958351613229597e-28,1.077365288526009e-20,2.38979472070876e-16,2.65146033179391e-09,3.78020303364233e-23,5.780842692531591e-12,6.205793401541536e-10,3.83315981431811e-10,8.577618681098502e-17,4.728366087830759e-28,2.846464100025014e-09,2.340241316025081e-15,1.058409369514448e-32,1.183741961812647e-11,2.254653654602379e-13,2.017205283510552e-10,1.754755924810831e-18,0.6809411105198361,1.209065753996007e-55,1.99833263113962e-13,3.653991978192671e-07,1.928747761326054e-15,2.143675926380627e-07
0.027,0.10913,441.2563135463221,0.7039587413521645,0.0036840101500274403,8.875239437351446e-08,6.9475326064857055e-06,2.3124502308614344e-05,1250.7576476955894,4.961102887190249e-05,0.003207956356379118,7.16968664638561e-15,1.716020979564683e-14,0.1963475131190402,1.909126559350702e-12,0.01200964514189538,1.406274878674944e-06,1.244322419571795e-05,-6.213465140138735e-39,1.445222815029245e-30,9.624503027637785e-19,2.022274592431858e-21,4.360990604644499e-10,0.1016009497256159,0.005065631457886535,0.000901026163616238,1.870546821887508e-15,0.000103984549197523,6.92200093947146e-17,6.474375740091396e-11,3.367544308448627e-05,6.409243788660775e-23,0.0001148438333282927,3.939044379218402e-17,0.0001923173842691922,1.081559888227512e-13,7.752126366442542e-05,2.960053066289665e-16,2.543850855434014e-05,1.424185296356814e-08,1.654921923419766e-27,4.211387494714183e-20,4.743942615631793e-16,4.038511546279821e-09,1.069024874494507e-21,1.338123106761931e-11,1.034552124254734e-09,6.727905703458e-10,9.496744356540391e-17,1.900406563594332e-26,4.976898548014243e-09,3.998528799922108e-15,9.064865818102436e-31,2.073811167318167e-11,3.949952962591016e-13,3.533964047707398e-10,1.709490862606651e-18,0.6803044756159962,1.203269902769681e-55,1.09901220530522e-12,7.450033618943211e-07,2.994138548044121e-14,4.010817610431e-07
