x,Z,T,rho,PV,SourcePV,psi,mu,Cps,alpha,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.0,0.090422,294.0,1.1153693221370897,6.549134836848169e-08,3.7012353033665363e-09,1.1007839349983605e-05,1.7383929901125353e-05,1118.4702881537946,2.1890518410039074e-05,2.637686949653255e-07,2.602667415357615e-16,-1.780797905602925e-17,0.2118490445080294,-1.444358818906344e-15,3.167647466453471e-10,2.509987512451218e-14,1.416532844255318e-13,2.485123932452709e-16,-3.03081822157056e-30,1.796486061232183e-17,2.047080826072177e-32,7.694143179463624e-18,0.09042195363010165,5.97546578488706e-11,1.283407087515765e-12,-9.799634017169482e-24,1.129135723778623e-13,-7.101927641984925e-32,-2.264560442028933e-24,2.631874719945601e-14,-1.776314488614092e-15,1.877397513337935e-13,-5.486786407776909e-34,2.126658414137183e-13,2.222676333925131e-28,5.823407560753335e-14,-8.157658649525877e-29,7.57755331601087e-15,2.807983173751725e-17,-1.009379141253942e-15,6.11144026380359e-16,-4.314219515863352e-15,1.311802045959361e-14,3.434354959234265e-32,-2.854458633460659e-17,2.263004660863351e-15,1.325995863096363e-18,-6.01772103350194e-17,2.540215494267948e-19,-7.657691702075434e-15,6.581585904173759e-15,2.091775472587927e-32,-1.539138072642759e-17,1.011836396571479e-20,8.155203002775072e-18,1.102382964144423e-20,0.6977287377145905,-2.613545055943515e-68,2.120248909244684e-19,4.254729235981237e-17,-3.087588356117319e-27,9.470490467363675e-17
0.008,0.090422,294.000111911372,1.1153438679507415,5.202102595283437e-07,2.1359934931374333e-16,1.100758813669618e-05,1.738393041864766e-05,1118.4941909014722,2.1892309277698903e-05,2.090192870140359e-06,3.950921306830202e-22,-3.120559276600553e-16,0.2118486534598041,-3.996140688050869e-19,7.881803435049382e-09,6.708284296271041e-13,3.804115474847486e-12,1.339493607755916e-23,1.169120990137427e-36,1.983542284774403e-23,4.828470670981091e-31,1.887134244787247e-16,0.09042162839951366,1.6010825653348e-09,4.478943101566284e-11,-3.455739130782466e-22,3.999441665856064e-12,-2.542060384376331e-30,-8.109324576813899e-23,9.531377118930912e-13,-5.552433123903751e-23,6.217041133449207e-12,-1.752649513536841e-32,7.390539727224061e-12,8.22602070508706e-27,2.060961754795574e-12,-1.80963328664935e-27,2.673834978649328e-13,2.773608681185553e-16,-2.919200273844408e-17,1.318988930044706e-19,-4.301626460681985e-15,4.006023021717368e-14,9.28571110827059e-31,-7.712720385137072e-16,4.50042489220269e-15,3.019086102519795e-17,-5.98677118958307e-17,2.430896291297737e-26,-5.077618022470156e-15,6.58162006831627e-15,1.767283609384891e-36,5.646229156385151e-18,4.286188530357399e-19,2.95238664830339e-16,4.238845082335589e-19,0.6977276183947227,-1.3942837945321e-67,2.132477058841396e-19,2.428994800049628e-15,-1.269000388919174e-25,5.167672178381542e-15
0.016,0.090422,294.0028810325558,1.115135033515548,4.1534657271019125e-06,-1.6010260300195601e-19,1.100552710106634e-05,1.7384020037212762e-05,1118.684188812153,2.190673679714255e-05,1.656472125207188e-05,-2.708864331342861e-24,-1.342156391631932e-16,0.2118454942745705,-3.817329238800311e-20,1.961344738514808e-07,1.772613196800842e-11,1.023209041218076e-10,7.352437488005813e-31,-7.547372848303865e-39,-4.184565978020422e-27,2.736175762208118e-33,3.28914753350139e-14,0.09041895808211457,4.29039012954108e-08,1.56323679304697e-09,-2.579121625392269e-26,1.417504534018822e-10,-3.402982156749487e-29,2.025217377608701e-19,3.4371046791457e-11,-1.753825481261317e-30,2.059665024040524e-10,-2.737300365289486e-32,2.542302206725145e-10,2.980409420765652e-25,7.666425058919984e-11,-2.584424981952416e-26,1.08819323267569e-11,1.046189174606949e-14,-8.565813742415859e-19,2.912953192295358e-23,-4.159993134597233e-15,7.272362043538963e-13,-6.366233765852814e-33,2.885365890456134e-15,7.540847889049352e-14,1.04620911821035e-15,-5.907413407097433e-17,2.337643320492557e-33,8.777736887583225e-14,6.582800823903113e-15,-8.260841537245018e-39,7.430490299297592e-16,1.509775133557975e-17,1.035798978938558e-14,4.290529435008299e-19,0.6977187414752565,-3.25336769630165e-68,2.724278743733776e-19,1.165693119734894e-13,-1.878492056853491e-24,2.142475276318802e-13
0.02,0.090422,294.028889599021,1.1144223793894104,1.5685458755148205e-05,2.4630781770665106e-14,1.0998493751684277e-05,1.738508871983829e-05,1119.2780847224471,2.1953605979583917e-05,6.140340648004007e-05,-2.990560165767315e-24,-7.087174434394056e-17,0.2118350965904472,3.492751545328791e-18,1.976781420392248e-06,1.908946167792395e-10,1.108609757372135e-09,8.652805610044667e-38,3.987351970630333e-41,-3.037478696546189e-26,2.858961141383424e-30,3.405298850213967e-13,0.0904098739378836,4.632089575123635e-07,2.163098919529159e-08,-1.320129500238555e-25,1.99022180591585e-09,1.758326300267813e-27,2.259708901488811e-17,4.904908433909562e-10,1.387005682481006e-37,2.713106564629984e-09,1.065223103156758e-28,3.468980169385011e-09,2.18097986709241e-23,1.128126807957588e-09,-1.787705661162668e-25,1.748649233454592e-10,1.678013495294542e-13,-5.143058510377851e-20,-2.110475944376277e-26,-3.448852545476445e-15,7.386408046028122e-12,-7.03272616155555e-33,4.10079917389676e-14,9.271280390376548e-13,1.458709614549014e-14,-5.221237221778647e-17,3.017663749518357e-39,1.352811026788218e-12,6.59899098353481e-15,1.847307668625656e-41,1.052993241434521e-14,2.097879640751848e-16,1.439119443614968e-13,5.117389580228327e-19,0.6976911531624884,-2.062402925341522e-68,1.343062576982874e-18,2.178430438850609e-12,-1.35932609182754e-23,3.472435219888892e-12
0.022,0.090422,294.1571938599589,1.112832600780499,3.7754210843873514e-05,8.01627601275863e-13,1.0982803856703655e-05,1.7390706554089397e-05,1120.3721707186578,2.204821144159567e-05,0.00014209735175844,2.995832208424592e-22,-2.083197202009393e-17,0.2118132300477815,1.13108796006074e-16,1.084466776649762e-05,1.114752472964019e-09,6.499853921039991e-09,2.176559261474032e-44,-2.659842242805961e-41,-6.013238519302257e-26,5.069989794906929e-28,1.871298168328255e-12,0.09038992726861927,2.70728902490352e-06,1.592718550144544e-07,1.246705165266463e-23,1.485585274086379e-08,4.908517058877108e-25,7.320678178591047e-16,3.717620957880088e-09,5.858374831262054e-35,1.907650907019364e-08,2.352628604975237e-26,2.520944974946757e-08,2.138670215378976e-21,8.80161448098753e-09,8.697556076016987e-26,1.482646722079714e-09,1.422598474590187e-12,-6.097498507769554e-21,-1.165680644665127e-25,-1.121342213681572e-15,4.13211936451431e-11,7.078414996840177e-31,2.463562111402117e-13,6.255457938780569e-12,1.082161286288822e-13,-1.569513455265742e-17,6.483869094607539e-37,1.028721295750238e-11,6.714202901353238e-15,-9.55392218149487e-41,7.79311599629799e-14,1.550598965174051e-15,1.063684669575389e-12,1.090770773494517e-18,0.6976409532312404,-2.004082676010028e-68,1.126339920910398e-17,2.13186889987529e-11,-2.947427279944753e-23,2.967601543684295e-11
0.024,0.090422,295.0374276082428,1.10650844660048,0.00010684601185759067,3.7958064241567006e-11,1.0920389307678057e-05,1.7430004646406436e-05,1123.5306542893527,2.2374647010983384e-05,0.0003626897935334925,3.624532828320169e-20,1.968135445946688e-16,0.2117307302299501,5.23382080306763e-15,7.265900389690225e-05,8.017857547578273e-09,4.679277018791186e-08,5.8622881809391e-51,1.960443651234354e-40,8.607562720259578e-24,1.560415066226579e-25,1.254932045902027e-11,0.09031298893111411,1.942988522504177e-05,1.463479840939515e-06,5.571810695613073e-21,1.384838857944275e-07,2.149191588285782e-22,3.481180716600273e-14,3.522258635470948e-08,2.573212763427339e-32,1.668977857814103e-07,9.93186214313727e-24,2.284283457811744e-07,5.720774947258255e-19,8.600427849837008e-08,2.683230274942728e-22,1.581820193586355e-08,1.517733094883105e-11,-7.248756658058647e-22,1.766918969458316e-23,1.043628112876104e-14,2.831224867009134e-10,8.879641627308374e-29,1.795598738287731e-12,5.245419780320987e-11,1.002356011768585e-12,2.574497851747249e-16,3.05567013656775e-34,9.735798657844236e-11,7.84585919255184e-15,1.788261490137607e-39,7.191180331340314e-13,1.43057154872338e-14,9.813476296005934e-12,6.639913026123507e-18,0.6974993119529115,-2.222049139508908e-68,1.380763985893797e-16,2.645158750091533e-10,3.157930601131569e-21,3.192605666303189e-10
0.025,0.090422,297.3833222634913,1.0943566662583557,0.0002090502216710093,4.448831638877654e-10,1.0800460560161411e-05,1.7535165722087387e-05,1127.591836081113,2.2925184404381367e-05,0.0006159799371836428,7.682539908548964e-19,8.697519176616854e-16,0.2115718513257497,5.826608605427208e-14,0.0002412330163725131,2.872218521545288e-08,1.640748863314582e-07,-2.280407117299709e-53,3.298264558364302e-38,2.213187886084797e-22,5.79527675657821e-24,4.207091577947249e-11,0.0901697931434774,6.809407769691909e-05,6.241692905711185e-06,2.662244335060506e-19,5.973728077634819e-07,1.038678395130166e-20,4.12969988195874e-13,1.539735131818374e-07,1.455921133942524e-30,6.841848097158188e-07,4.889733755133668e-22,9.632319683039542e-07,2.553442775221586e-17,3.857339679644633e-07,1.356448887739734e-20,7.626884410216206e-08,7.317866383237492e-11,-1.576786485868361e-22,2.750842383953748e-22,3.424103631430582e-14,9.566758059460608e-10,2.078506205038906e-27,6.503827795910672e-12,2.075889170905179e-10,4.303120611818679e-12,1.055731623367203e-15,1.800824716904848e-32,4.249753540276486e-10,1.213688560683263e-14,-9.335440591709777e-39,3.077285592742887e-12,6.121669659709608e-14,4.199362877888122e-11,2.745602405653808e-17,0.6973237484840122,-2.581577656678427e-68,8.156996263884358e-16,1.448718101022102e-09,9.407619056236601e-20,1.550064421266371e-09
0.0255,0.090422,301.0432538971741,1.078262413407485,0.00032384937108577324,2.1384968613608557e-09,1.0641622634172062e-05,1.76986988359193e-05,1131.5098866667051,2.3612433408111663e-05,0.0008237927834572409,5.420394617539113e-18,2.260733474306953e-15,0.211347549148272,2.600080063032392e-13,0.0005108612361057981,6.572963155524e-08,3.621578584793669e-07,1.336727619187963e-50,2.431071596846628e-36,1.83351624965452e-21,5.605918856573805e-23,9.10586594656909e-11,0.08998241358431994,0.0001505080395427825,1.610999335866807e-05,3.084808277198802e-18,1.555280309864092e-06,1.207443485842514e-19,2.021251747363215e-12,4.052495649312524e-07,2.256992102707215e-29,1.710664427304657e-06,6.010866742782803e-21,2.463216132147915e-06,2.969555147567403e-16,1.03723782515231e-06,1.73509027991862e-19,2.175868133642692e-07,2.087706213598227e-10,-5.588437489833166e-23,1.578739053086088e-21,6.486157653581276e-14,2.053947049597796e-09,1.710027600701324e-26,1.505611103179686e-11,5.040925040685173e-10,1.11659746256899e-11,2.41252334966058e-15,2.836502803018165e-31,1.117031436417804e-09,2.126335277466293e-14,3.180525679851534e-36,7.964283572196364e-12,1.584336611442621e-13,1.08682889303106e-10,7.140509907928795e-17,0.69716093492311,-2.95743762244295e-68,2.991802566626e-15,4.601449541332373e-09,1.054663627996219e-18,4.447707363992259e-09
0.026,0.090422,309.6941482907874,1.0442655286467895,0.0005508630895153335,1.2074816775167525e-08,1.0306099468510127e-05,1.808140890284128e-05,1138.297595470531,2.508134554227779e-05,0.001117613879525657,4.977369901083693e-17,6.763403720859022e-15,0.2108192266371985,1.247186893668691e-12,0.001165017068121218,1.667615704153419e-07,8.667507074563793e-07,1.129114503713185e-47,2.24764202260002e-34,1.903196018479807e-20,6.49476206379424e-22,2.174850539947249e-10,0.08957796583787056,0.000361425357385179,4.613353103473589e-05,4.260491648687827e-17,4.493050741843119e-06,1.657111513256542e-18,1.16997126887363e-11,1.185323752527589e-06,6.317265066741175e-28,4.725856767044263e-06,9.692526883901484e-20,6.978590324601287e-06,3.860407548262686e-15,3.111922040957149e-06,2.794378408123222e-18,6.974197844961075e-07,6.691609308469508e-10,-1.663866918195532e-23,1.215552598833781e-20,1.270320661368849e-13,4.760753252128036e-09,2.227806255708681e-25,3.883874142406025e-11,1.345795792942759e-09,3.217255684552943e-11,5.895168565599141e-15,7.756131925928549e-30,3.261551572817626e-09,4.971710125827534e-14,2.889093099539512e-34,2.287940593361617e-11,4.55139952577772e-13,3.122187012706506e-10,2.076451724333575e-16,0.6968903503303037,-3.521040007811048e-68,1.345757422755225e-14,1.665971634349904e-08,1.924605775051219e-17,1.43490696672929e-08
0.0265,0.090422,329.3888643090464,0.9766700182438567,0.0010149685485179663,7.516515859227167e-08,9.63898364908814e-06,1.8932978369261757e-05,1150.767991920723,2.8324081293171676e-05,0.001524890723469735,5.91359766765807e-16,2.553198823974754e-14,0.2095622590906731,5.633915668985291e-12,0.002697719432259067,4.530057142903784e-07,2.107330727511437e-06,1.661384773181689e-44,2.929746863438478e-32,2.250994449733786e-19,7.962102453548148e-21,5.743292854191037e-10,0.088704545179962,0.0008867666938614455,0.0001346338008455327,5.644289249800435e-16,1.319372735437799e-05,2.139285375418512e-17,7.38349835705674e-11,3.524231403054902e-06,3.833122397534847e-26,1.331495306039783e-05,1.824640585638102e-18,2.014136956635517e-05,4.461237438647523e-14,9.510619346222127e-06,4.610044962962163e-17,2.270732010715064e-06,2.178721471173698e-09,-2.866470480452375e-24,1.259677227063237e-19,2.526875674890789e-13,1.121954629699544e-08,5.466611277654088e-24,1.087629889619822e-10,3.653628173307721e-09,9.447797505215111e-11,1.459799498430462e-14,4.179751442056632e-28,9.675421953042328e-09,1.353315275027392e-13,3.551219348246891e-32,6.698977571622045e-11,1.332626910689859e-12,9.141611586892019e-10,6.220857415251506e-16,0.6964245322546306,-4.179206709175375e-68,7.401375464976548e-14,6.126983349246041e-08,5.001960246826807e-16,4.701981666305025e-08
